Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,60.00%,0.6734,1.5699,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,26,,,,,92.73%,52.00%,0.8497,1.79228,,0.076052396,0.130384048,0.178949099,0.105823991
,,,,,,,,,,,,,,
90.91%,60.00%,0.6471,1.663,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,70.00%,0.8953,1.802,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,50.00%,0.8877,1.8132,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,40.00%,1.1047,1.9481,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,40.00%,0.7137,1.7351,,,,,,,,,,,
