Accuracy,Accuracy Validation,Loss,Loss Validation,,MEAN,Accuracy,Accuracy Validation,Loss,Loss Validation,,,STD,Accuracy,Accuracy Validation,Loss,Loss Validation
,,,,,,,,,,,,,,,,
Number Of features = ,18,,,,,0.84446,0.35,0.69722,1.61492,,,,0.060851976,0.223606798,0.128395705,0.415672187
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.4989,1.5088,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.7162,0.9605,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,25.00%,0.7385,1.8804,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,50.00%,0.8529,1.6913,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,0.00%,0.6796,2.0336,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,19,,,,,0.77778,0.35,0.73402,1.65204,,,,0.192474146,0.136930639,0.27227873,0.321090054
,,,,,,,,,,,,,,,,
44.44%,50.00%,1.1714,1.5915,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,25.00%,0.4539,2.015,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,25.00%,0.7899,1.9318,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,25.00%,0.6058,1.4819,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.6491,1.24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,20,,,,,0.80002,0.4,0.65966,1.45342,,,,0.144856677,0.136930639,0.181304738,0.424124235
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.5495,1.0849,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,25.00%,0.5013,1.9223,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.7485,1.464,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,50.00%,0.5621,0.9751,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,25.00%,0.9369,1.8208,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,21,,,,,0.86668,0.55,0.53814,1.21358,,,,0.144856677,0.410791918,0.182613452,0.513149527
,,,,,,,,,,,,,,,,
100.00%,100.00%,0.3265,0.8075,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,25.00%,0.4488,1.5819,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,25.00%,0.7921,1.7306,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,25.00%,0.6483,1.4044,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,100.00%,0.475,0.5435,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,22,,,,,0.93334,0.65,0.50606,0.98838,,,,0.060851976,0.418330013,0.135959196,0.614642813
,,,,,,,,,,,,,,,,
88.89%,0.00%,0.7214,1.7869,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,75.00%,0.5155,0.8488,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,50.00%,0.4833,1.4527,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
88.89%,100.00%,0.4623,0.3652,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100.00%,100.00%,0.3478,0.4883,,,,,,,,,,,,,
