Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
Number Of features = ,24,,,,,95.56%,80.00%,0.30144,0.59586,,0.060851976,0.273861279,0.128994508,0.424087836
,,,,,,,,,,,,,,
100.00%,50.00%,0.3351,0.8275,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,100.00%,0.4787,0.263,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,50.00%,0.2566,1.2049,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,100.00%,0.3138,0.5079,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.123,0.176,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,25,,,,,95.56%,75.00%,0.2292,0.97448,,0.099370861,0.306186218,0.094170351,0.686647262
,,,,,,,,,,,,,,
100.00%,100.00%,0.2615,0.4083,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,75.00%,0.3804,1.2991,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.1543,0.6035,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,25.00%,0.1804,2.034,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.1694,0.5275,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,26,,,,,95.56%,95.00%,0.29982,0.5042,,0.060851976,0.111803399,0.028551918,0.45754991
,,,,,,,,,,,,,,
100.00%,100.00%,0.2937,0.4216,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,75.00%,0.3121,1.3073,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,100.00%,0.3143,0.2859,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,100.00%,0.3259,0.3301,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,100.00%,0.2531,0.1761,,,,,,,,,,,
